# category|answer|original clue|difficulty (E/M/H)
География|АРХИПЕЛАГ|Островная компания|M
География|ПРОЛИВ|Водный коридор меж сушей|E
География|ТЕРРАСА|Речная ступень берега|H
География|ГЕЙЗЕР|Фонтан воды из недр|M
География|ЦУНАМИ|Волна после подводного толчка|M
География|ЛАГУНА|Залив за песчаной косой|M
География|ПАМПАСЫ|Степные просторы Аргентины|H
География|МАТЕРИК|Крупнейший массив суши|E
История|ХРОНИКА|Летопись событий по годам|M
История|АРХИВ|Дом документов прошлого|E
История|ДИНАСТИЯ|Род на троне поколениями|M
История|ЦИТАДЕЛЬ|Крепость внутри крепости|M
История|ТРИБУН|Народный защитник в Риме|H
История|ГЛАДИАТОР|Боец арены древнего Рима|E
История|ЛЕГИОН|Римское войсковое соединение|M
История|ФАРАОН|Правитель у берегов Нила|E
История|СЕНАТ|Совет старейшин в Риме|M
История|ВЕЧЕ|Собрание вольного Новгорода|M
История|БЕРЕСТА|Материал писем древней Руси|M
История|АРБАЛЕТ|Лук с прикладом и спуском|M
История|МУШКЕТ|Ружьё пехотинца прошлых веков|M
История|РЕФОРМА|Перемена правил без революции|E
История|МОНАРХ|Один на вершине власти|M
История|ИМПЕРИЯ|Государство под властью кесаря|M
История|КОПЕЙКА|Монета с всадником и копьём|H
История|КОЛОНИЯ|Зависимая заморская территория|M
История|МАНИФЕСТ|Публичное слово государя|H
История|ПАЛЕОЛИТ|Древнейший каменный век|H
Литература|СОНЕТ|Четырнадцать строк по канону|M
Литература|БАСНЯ|Мораль под маской зверей|M
Литература|ЭПИЛОГ|Что было после развязки|M
Литература|ПРОЛОГ|Сцена прежде главного действия|M
Литература|АЛЛЕГОРИЯ|Иносказательный образ|H
Литература|МЕТАФОРА|Перенос смысла без «как»|H
Литература|СЮЖЕТ|Цепь событий произведения|E
Литература|РЕФРЕН|Возвращающаяся строка песни|M
Литература|ЯМБ|Размер с ударением на чётном|H
Литература|ХОРЕЙ|Размер с ударением на нечётном|H
Литература|ОДИССЕЯ|Долгая дорога домой у Гомера|M
Литература|ГАМЛЕТ|Принц с вопросом «быть?»|E
Литература|ДАНТЕ|Автор путешествия через ад|M
Литература|КРЫЛОВ|Баснописец со стрекозой|E
Литература|ПОЭМА|Большое повествование в стихах|M
Литература|РОМАН|Длинная история в прозе|E
Литература|ЛИРИКА|Поэзия личного чувства|M
Литература|ГИПЕРБОЛА|Намеренное преувеличение|M
Литература|САТИРА|Смех с острым жалом|M
Литература|ФОЛИАНТ|Солидная толстая книга|H
Музыка|СОНАТА|Произведение для инструмента|M
Музыка|СИМФОНИЯ|Большая оркестровая форма|M
Музыка|УВЕРТЮРА|Оркестровое вступление к опере|M
Музыка|КАМЕРТОН|Даёт эталонную ноту|M
Музыка|КРЕЩЕНДО|Постепенно всё громче|H
Музыка|СТАККАТО|Коротко и отрывисто в нотах|H
Музыка|ЛЕГАТО|Связно и плавно в нотах|H
Музыка|КВАРТЕТ|Четверо музыкантов вместе|M
Музыка|ТЕНОР|Высокий мужской голос|E
Музыка|БАРИТОН|Голос между тенором и басом|M
Музыка|ВИОЛОНЧЕЛЬ|Большая смычковая между колен|M
Музыка|КЛАРНЕТ|Духовой с одинарной тростью|H
Музыка|ГИТАРА|Шесть струн для аккордов|E
Музыка|РОЯЛЬ|Клавиши и струны под крышкой|E
Музыка|ДУЭТ|Два голоса на одной сцене|E
Музыка|АРИЯ|Оперный монолог на музыку|M
Музыка|МЕЛИЗМ|Украшение одной ноты|H
Музыка|ПАРТИТУРА|Все партии на нотном листе|H
Музыка|ДИРИЖЁР|Управляет оркестром без слов|E
Музыка|БАЛЛАДА|Песня с повествованием|M
Кино|МОНТАЖ|Из кадров собирает время|M
Кино|СЦЕНАРИЙ|Фильм прежде камеры|M
Кино|ДУБЛЬ|Ещё одна попытка снять сцену|E
Кино|КЛАПУШКА|Отмечает начало дубля|M
Кино|РАКУРС|Точка зрения камеры|M
Кино|КРУПНЫЙ|План с лицом во весь экран|M
Кино|ЭПИЗОД|Отдельная часть экранной истории|E
Кино|КАМЕРА|Глаз съёмочной группы|E
Кино|РЕЖИССЁР|Главный постановщик на площадке|E
Кино|ОПЕРАТОР|Человек за объективом|M
Кино|ТИТРЫ|Имена после финального кадра|E
Кино|СИКВЕЛ|Продолжение успешного фильма|M
Кино|ПРИКВЕЛ|Продолжение о том что было раньше|H
Кино|КАСКАДЁР|Рискованный дубль вместо актёра|M
Кино|АФИША|Кино зовёт с этого листа|E
Кино|ПРОКАТ|Жизнь фильма на экранах|M
Кино|ФЕСТИВАЛЬ|Праздник премьер и жюри|E
Кино|НУАР|Кино с тенью и роковой тайной|H
Кино|ВЕСТЕРН|Кино с ковбоями и прерией|M
Кино|МУЛЬТФИЛЬМ|Кадры оживших рисунков|E
Еда|РИЗОТТО|Итальянский рис без рассыпчатости|M
Еда|ПЕСТО|Зелёный соус с базиликом|M
Еда|ГАЗПАЧО|Холодный суп из Андалусии|H
Еда|КИШ|Французский открытый пирог|M
Еда|ШТРУДЕЛЬ|Рулет с яблоками и корицей|M
Еда|РАВИОЛИ|Итальянские подушечки с начинкой|M
Еда|ПОЛЕНТА|Каша из кукурузной крупы|H
Еда|СУШИ|Японский рис с рыбой|E
Еда|РАМЕН|Японская лапша в бульоне|M
Еда|ПАЭЛЬЯ|Испанский рис из широкой сковороды|M
Еда|ГУАКАМОЛЕ|Авокадо в мексиканской ступке|M
Еда|ПАПРИКА|Молотый сладкий перец|E
Еда|ТАРХУН|Трава со вкусом аниса|M
Еда|ЗАКВАСКА|Живой стартер хлебопёка|M
Еда|КАРАМЕЛЬ|Сахар после жаркой ванны|M
Еда|МАРИНАД|Пряная ванна для мяса|M
Еда|КОРИЦА|Пряность из коры|E
Еда|ШАФРАН|Дорогие рыльца для плова|H
Еда|КУСКУС|Крупа мелкими шариками|M
Еда|ОМЛЕТ|Яйца взбитые на сковороде|E
Наука|АТОМ|Частица с ядром|E
Наука|НЕЙТРОН|Частица ядра без заряда|M
Наука|ЭЛЕКТРОН|Отрицательный спутник ядра|M
Наука|КВАНТ|Порция физического действия|H
Наука|ПРИЗМА|Раскладывает белый свет|M
Наука|ЛАЗЕР|Пучок согласованного света|M
Наука|СПЕКТР|Радуга после призмы|M
Наука|ОРБИТА|Путь вокруг небесного тела|E
Наука|ГРАВИТАЦИЯ|Притяжение без верёвки|M
Наука|ВАКУУМ|Почти пустое пространство|M
Наука|ИЗОТОП|Атом с другим числом нейтронов|H
Наука|МОЛЕКУЛА|Химическая компания атомов|M
Наука|ГИПОТЕЗА|Догадка под проверкой опыта|M
Наука|ТЕОРЕМА|Утверждение с доказательством|M
Наука|ПАРАДОКС|Вывод наперекор интуиции|H
Наука|РЕАКТОР|Место управляемого деления|M
Наука|ПОЛИМЕР|Длинная цепь одинаковых звеньев|M
Наука|ФОТОН|Частица света|E
Наука|ПЛАЗМА|Газ с заряженными частицами|H
Наука|КОМЕТА|Ледяная гостья с хвостом|E
Искусство|ФРЕСКА|Живопись по сырой штукатурке|M
Искусство|МОЗАИКА|Картина из цветных кусочков|E
Искусство|ГРАВЮРА|Отпечаток резной доски|M
Искусство|ПАЛИТРА|Краски художника на дощечке|E
Искусство|ЭСКИЗ|Черновик будущей картины|M
Искусство|ПОРТРЕТ|Человек на полотне|E
Искусство|ПЕЙЗАЖ|Природа в раме|E
Искусство|НАТЮРМОРТ|Вещи позируют художнику|M
Искусство|БАРОККО|Стиль пышности и движения|H
Искусство|КУБИЗМ|Лица из граней и плоскостей|H
Искусство|ИМПАСТО|Рельефный густой мазок|H
Искусство|ГРАФФИТИ|Рисунок на городской стене|E
Искусство|ВИТРАЖ|Свет сквозь цветное стекло|M
Искусство|ФАРФОР|Тонкая белая керамика|M
Искусство|БЮСТ|Скульптура до груди|M
Искусство|ГОБЕЛЕН|Тканая картина на стене|M
Искусство|КОЛЛАЖ|Из обрывков в целое|M
Искусство|АКВАРЕЛЬ|Живопись водяными красками|E
Искусство|ГАЛЕРЕЯ|Залы для встреч с картинами|E
Искусство|РЕСТАВРАТОР|Возвращает искусству годы|M
Пословицы|БЛИН|Первый бывает комом|E
Пословицы|САНИ|Готовят летом по поговорке|E
Пословицы|ТЕЛЕГА|Зимой готовят по поговорке|E
Пословицы|ЖУРАВЛЬ|В небе против синицы|M
Пословицы|СИНИЦА|В руке против журавля|M
Пословицы|ЯБЛОКО|От яблони недалеко падает|E
Пословицы|КОСА|Нашла она на камень|M
Пословицы|КАМЕНЬ|Под лежачий вода не течёт|M
Пословицы|ОМУТ|Тихий а черти там водятся|M
Пословицы|РЫБКА|Без труда не выловишь её|E
Пословицы|ПРУД|Оттуда без труда нет рыбки|M
Пословицы|СЛОВО|Не воробей вылетит не поймаешь|M
Пословицы|ВОРОБЕЙ|Так сравнивают вылетевшее слово|M
Пословицы|ДЕЛО|Мастера боится в пословице|E
Пословицы|ВРЕМЯ|Для дела а потехе час|E
Пословицы|ГУСЬ|Свинье не товарищ|M
Пословицы|ПЕТУХ|Не клюнет мужик не крестится|M
Пословицы|МЕШОК|Кота в нём покупать не советуют|M
Пословицы|СОБАКА|Лает а караван идёт|M
Пословицы|ТОПОР|Кашу из него сварили|M
Общие знания|ШАХМАТЫ|Игра где король не боец|M
Общие знания|КОМПАС|Север у него привычка|E
Общие знания|КАЛЕНДАРЬ|Дни собраны на листах|E
Общие знания|ЗЕРКАЛО|Портрет без памяти|M
Общие знания|БУМЕРАНГ|Возвращается после броска|E
Общие знания|ТЕРМОС|Горячее оставляет горячим|E
Общие знания|ПАРОЛЬ|Секрет для входа|E
Общие знания|АЗБУКА|Буквы в учебном строю|E
Общие знания|РЕБУС|Слова спрятаны в рисунках|M
Общие знания|ЛАБИРИНТ|Путь который любит путать|M
Общие знания|МАЯТНИК|Отмеряет время качанием|M
Общие знания|КОМЕТА|Небесная странница с хвостом|E
Общие знания|ГЕРБ|Знак города на щите|E
Общие знания|ЭМБЛЕМА|Условный знак организации|M
Общие знания|ПОДПИСЬ|Имя собственной рукой|E
Общие знания|КУРСИВ|Буквы с наклоном|M
Общие знания|КАТАЛОГ|Список с системой поиска|M
Общие знания|КОНВЕРТ|Бумажный дом письма|E
Общие знания|МАСШТАБ|Отношение карты к земле|M
Общие знания|ПАНОРАМА|Вид в полный размах|M
Биология|НЕЙРОН|Клетка электрических сообщений|M
Биология|ЭМБРИОН|Организм до рождения|M
Биология|ОСМОС|Вода идёт через мембрану|H
Биология|МЕМБРАНА|Граница живой клетки|M
Биология|ХЛОРОФИЛЛ|Зелёная ловушка света|M
Биология|КОЛОНИЯ|Сообщество микробов на среде|M
Культуры стран|ФЛАМЕНКО|Испанский танец с каблуками|M
Культуры стран|ОРИГАМИ|Японская бумажная складка|M
Культуры стран|САКУРА|Весенний символ Японии|E
Культуры стран|ШАМПУР|На нём жарят шашлык|E
Культуры стран|ПОНЧО|Плащ с отверстием для головы|M
Культуры стран|ФОНДЮ|Швейцарский сыр в котелке|M
География|ПОЛЮС|Конец земной оси|E
География|ВУЛКАН|Гора с магмой внутри|E
География|ЛЕДНИК|Медленная река льда|M
География|ГРЯДА|Цепь невысоких гор|M
География|ШЕЛЬФ|Мелководное продолжение суши|H
География|ТРОПИК|Широта летнего солнцестояния|H
История|СВИТОК|Книга до переплёта|M
История|ДОСПЕХ|Железная одежда воина|E
История|ОРДЕН|Награда с лентой и звездой|E
История|УКАЗ|Распоряжение верховной власти|M
История|ОБЕЛИСК|Памятник в форме столпа|M
История|КУРГАН|Древняя могила под насыпью|M
Литература|РИФМА|Созвучие концов строк|E
Литература|СТРОФА|Абзац стихотворения|M
Литература|ПСЕВДОНИМ|Чужое имя на обложке|M
Литература|СЛОГ|Часть слова с гласным|E
Литература|АФОРИЗМ|Мысль в тесной оправе|M
Литература|ФАБУЛА|События в порядке времени|H
Музыка|АККОРД|Несколько нот одновременно|E
Музыка|ОКТАВА|Интервал через восемь ступеней|M
Музыка|ТЕМБР|Звуковой почерк инструмента|M
Музыка|ПРЕЛЮДИЯ|Небольшая пьеса-вступление|M
Музыка|СОЛИСТ|Один против целого оркестра|M
Музыка|КАНОН|Мелодия догоняет саму себя|H
Кино|ПРЕМЬЕРА|Первый выход фильма к зрителю|E
Кино|СУБТИТРЫ|Речь фильма строкой внизу|M
Кино|МЕЛОДРАМА|Чувства в центре сюжета|E
Кино|АНИМАЦИЯ|Движение нарисованных кадров|M
Кино|КОМЕДИЯ|Фильм работающий на смех|E
Кино|МАССОВКА|Толпа в кадре по команде|M
Еда|БРУСКЕТТА|Итальянский тост с начинкой|M
Еда|КРУАССАН|Слоёный полумесяц к кофе|E
Еда|СУФЛЕ|Воздушное блюдо из взбитых белков|M
Еда|ГАРНИР|Сосед главного блюда|E
Еда|БУЛЬОН|Отвар мяса или овощей|E
Еда|ТАРТАР|Сырой фарш под соусом|H
Наука|ПРОТОН|Положительная частица ядра|M
Наука|МАГНИТ|Его полюса притягивают железо|E
Наука|КАТАЛИЗ|Ускорение реакции помощником|H
Наука|ИНЕРЦИЯ|Движение не любит перемен|M
Наука|МАЯТНИК|Ритм колебаний в часах|M
Наука|РАДИУС|От центра к окружности|E
Искусство|ЛЕПКА|Скульптура начинается с глины|E
Искусство|МАРИНА|Морской вид на картине|H
Искусство|ЛИТОГРАФИЯ|Печатная графика с камня|H
Искусство|МОЛЬБЕРТ|Подставка для полотна|E
Искусство|КЕРАМИКА|Глина после печи|E
Искусство|ГРАФИКА|Искусство линии и штриха|M
Пословицы|РУБЛЬ|Его бережёт копейка|M
Пословицы|ЛОЖКА|Дорога именно к обеду|M
Пословицы|БРОД|Не зная его не лезь в воду|M
Пословицы|ВОЛК|Ноги кормят лесного охотника|M
Пословицы|ЛЕС|Дальше в него — больше дров|M
Пословицы|ДРОВА|Их становится больше в лесу|M
Общие знания|ПЕЧАТЬ|Оттиск на важной бумаге|E
Общие знания|БИЛЕТ|Пропуск на поезд или концерт|E
Общие знания|СВЕТОФОР|Цветной судья перекрёстка|E
Общие знания|КУПОЛ|Небо здания в миниатюре|M
Общие знания|РЕЦЕПТ|План блюда или лекарства|E
Общие знания|МАГАЗИН|Дом покупок и витрин|E
