# Existing answer|new original newspaper clue|difficulty
ЛИМОН|Кислый плод для цедры|E
ЛИНЕЙКА|Строит прямую и мерит длину|M
ЛИРА|Античные струны Аполлона|H
ЛОВКИЙ|С проворством рук и тела|M
МАЛИНА|Ягода с полым сердцем|H
МАНДАРИН|Новогодний цитрус в кожуре|E
МАРШ|Музыка ровного шага|M
МАСКА|Лицо поверх настоящего|M
МЕЧТА|Желание с картинкой будущего|M
МИСКА|Глубокая посуда без ножки|E
МОРЕ|Часть океана между берегами|E
МОРКОВЬ|Корнеплод с бета-каротином|H
МОРОЗ|Когда вода становится льдом|E
МУЗА|Мифическая гостья вдохновения|H
МЫШКА|Грызун или ладонный курсор|H
МЯГКИЙ|Уступающий нажатию|M
НАРОД|Люди общей страны или культуры|M
ОГУРЕЦ|Тыквенный овощ с усиками|H
ОКЕАН|Вода между континентами|M
ОЛЕНЬ|Копытный с ветвистыми рогами|E
ОРЁЛ|Хищник на гербе и в небе|E
ПАНДА|Бамбук для неё важнее мяса|M
ПАУТИНА|Ловчая сеть из белковых нитей|H
ПЕТРУШКА|Зелень и герой кукольного театра|H
ПИНГВИН|Морская птица в чёрном фраке|E
ПИРС|Причал уходящий в воду|M
ПИСЬМО|Послание с адресом на конверте|E
ПЛАТО|Равнина выше окрестностей|H
ПЛЕД|Домашнее тепло на плечах|E
ПОДУШКА|Опора для головы во сне|M
ПОЕЗД|Вагоны за локомотивом|E
ПОМИДОР|Плод с ликопином|H
ПЧЕЛА|Полосатый поставщик воска|M
РИТМ|Порядок сильных и слабых долей|H
РУКА|От плеча до пальцев|E
РУЧЕЙ|Водоток меньше реки|M
РЫСЬ|Кошка с кистями на ушах|M
СИНИЙ|Цвет кобальта и василька|M
СЛОН|Хобот скрывает его верхнюю губу|H
СМЕЛЫЙ|Идёт навстречу опасности|M
СМЕНА|Одна группа вместо другой|M
СМОРОДИНА|Ягода с запахом даже у листа|H
СНЕГИРЬ|Красная грудка на зимней ветке|M
СОРОКА|Врановая с длинным хвостом|H
СОСНА|Хвойная с длинной парной иглой|H
СПОКОЙНЫЙ|Без тревоги в голосе и движении|M
СПОР|Мнения сталкиваются вслух|M
СТРИЖ|Птица проводящая жизнь в полёте|H
СУМКА|Вещи едут в ней на плече|M
ТЕТРАДЬ|Страницы в клетку или линейку|M
ТИХИЙ|Едва слышный|M
ТУМАН|Облако спустившееся к земле|H
ТЫКВА|Осенний плод с полой серединой|M
УЛИЦА|Пространство между домами|E
УТРО|После рассвета до полудня|M
ФАКТ|Событие подтверждённое данными|M
ФЕЙЕРВЕРК|Праздник в небе из искр|M
ФЕРМА|Хозяйство со скотом или посевами|M
ФЛАМИНГО|Розовый фильтратор мелководья|H
ФЛОТ|Все корабли под одним флагом|M
ФРУКТ|Плод сладкий к десерту|M
ЦИРК|Шатёр акробата и клоуна|M
ЧАЙНИК|В нём вода готовится к чаю|M
ЧАШКА|Сосуд с ручкой для напитка|E
ШАРФ|Тёплая полоска вокруг шеи|M
ЯГОДА|Ботанический плод с семенами|H
ЯНТАРЬ|Смола пережившая миллионы лет|H
ЯРКИЙ|Не спрятать среди бледных|M
